Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
07/10/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Aecom Ltd,625646,414659.17,Desnz - Heat Networks Zoning-outsourced Programme Management,Wc1v 6qs,Vendor
08/10/2024,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Baringa Partners Llp,625967,39600,Desnz - Roll-out Of Smart Meters-other Technical Professional Services,Sw1e 6aj,Vendor
08/10/2024,Technical Advice / Services & Support,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",National Nuclear Laboratory Ltd,623938,65596.8,Desnz - Uk Nuclear Forensics Library-technical Advice / Services & Support,Wa3 6ae,Vendor
08/10/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Infrastructure - Desnz - Energy Development,North Sea Transition Authority,625933,742500,Desnz - Oga Grant In Aid-grant-in-aid To Arms Length Bodies,Wc1b 3hf,Wga Only
08/10/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Infrastructure - Desnz - Energy Development,North Sea Transition Authority,625934,575000,Desnz - Oga Grant In Aid-grant-in-aid To Arms Length Bodies,Wc1b 3hf,Wga Only
08/10/2024,Business Management Advice,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Capgemini Uk Plc,625885,73530,Desnz - Uk Ets-business Management Advice,Gu21 6db,Vendor
08/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Winning Moves Ltd,625886,33603.6,Desnz - Net Zero Costs - Admin-capital Grants To Local Government,B3 2aa,Grant
08/10/2024,Research And Development Expenditure,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Cepa Llp,625976,31875,"Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-Research And Development Expenditure",Wc2a 3lj,Vendor
08/10/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,625924,131323.2,Ics - Admin-other It Consultancy,Bh24 3fg,Vendor
09/10/2024,It Hosting Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Amazon Web Services Emea Sarl,626210,65120.76,Desnz - Rrems Business As Usual-it Hosting Services,Ec2a 2fa,Vendor
09/10/2024,Rentals Under Ifrs 16 Leases Buildings,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,625674,86392.61,Ics - Admin-rentals Under Ifrs 16 Leases Buildings,B3 2bj,Vendor
09/10/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Leeds City Council,625295,310460,Desnz - Hug 2-capital Grants To Local Government,Ls1 1ur,Grant
09/10/2024,Guarding And Security Services,Ics - Integrated Corporate Services - Ics - Operations,Cabinet Office,619532,77724,Ics - Dsit Cs Admin-guarding And Security Services,Fy5 3fw,Wga Only
09/10/2024,Ca - Beis Coal Health Gbs Account,Desnz - Energy Infrastructure - Desnz - Energy Development,Beis Coal Health,626229,250000,Desnz - Liabilities To Ex-british Coal Employees And Other Liabilities Transferred From British Coal-ca - Beis Coal Health Gbs Account,Sw1h 0et,Vendor
09/10/2024,Capital Grants To Public Corporations (Pcs),Ics - Integrated Corporate Services - Ics - Digital,Uk Shared Business Services Ltd,624354,78503.35,Ics - Transition - Desnz-capital Grants To Public Corporations (Pcs),Np10 8qq,Vendor
09/10/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,623876,66781.25,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
09/10/2024,Procurement Consultancy,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Deloitte Llp,625319,235956.35,Desnz - Energy Bill Discount Scheme Del-prog-procurement Consultancy,Ec4a 3bz,Vendor
09/10/2024,Central Telecommunications Services,Ics - Integrated Corporate Services - Ics - Digital,Telefonica Uk Ltd,593973,48371.51,Ics - Admin-central Telecommunications Services,Rg2 6uu,Vendor
09/10/2024,Central Telecommunications Services,Ics - Integrated Corporate Services - Ics - Digital,Telefonica Uk Ltd,601214,48482.89,Ics - Admin-central Telecommunications Services,Rg2 6uu,Vendor
09/10/2024,Central Telecommunications Services,Ics - Integrated Corporate Services - Ics - Digital,Telefonica Uk Ltd,614191,48549.1,Ics - Admin-central Telecommunications Services,Rg2 6uu,Vendor
09/10/2024,Central Telecommunications Services,Ics - Integrated Corporate Services - Ics - Digital,Telefonica Uk Ltd,619235,49907.51,Ics - Admin-central Telecommunications Services,Rg2 6uu,Vendor
09/10/2024,It Software Licences And Software Maintenance,Ics - Integrated Corporate Services - Ics - Digital,Phoenix Software Ltd,623367,144276.22,Ics - Admin-it Software Licences And Software Maintenance,Yo42 1ns,Vendor
10/10/2024,Capital Grants To Public Corporations (Pcs),Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Salix Finance Ltd,626264,13629017.91,Desnz - Public Sector Decarbonisation Scheme (Psds)-Capital Grants To Public Corporations (Pcs),Ec4n 7be,Grant
10/10/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Salix Finance Ltd,626871,422329.72,Desnz - Low Carbon Skills Fund Lcsf-current Grants To Private Sector - Npish,Ec4n 7be,Grant
10/10/2024,Ict Outsourcing & Maintenance/Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Central Grants And Loans,Jeremy Benn Associates Ltd,619116,45636,Desnz - Digital Services-ict Outsourcing & Maintenance/Support,Bd23 3fd,Vendor
10/10/2024,Hr Advice And Services,Ics - Integrated Corporate Services - Ics - Human Resources,Ministry Of Justice,624719,30784.5,Ics - Desnz Cs Admin-hr Advice And Services,Np20 9bb,Wga Only
10/10/2024,Recruitment Advice And Services,Ics - Integrated Corporate Services - Ics - Human Resources,Cabinet Office,620538,49041.5,Ics - Dsit Cs Admin-recruitment Advice And Services,Np10 8fz,Wga Only
10/10/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Actuation Lab Ltd,626674,292586.33,Desnz - Net Zero Innovation - Hydrogen-r & D Outsourced Other,Bs3 4ag,Vendor
10/10/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ricardo-aea Ltd,626625,33520.45,Desnz - Climate Science Capability-r & D Outsourced Other,Ox11 0qr,Vendor
10/10/2024,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings And Industry Dg Office,Baringa Partners Llp,626671,37620,Desnz - Net Zero Costs - Admin-other Technical Professional Services,Sw1e 6aj,Vendor
10/10/2024,Consultancy Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Department For Education,626700,40000,Desnz - Business Energy Efficiency Delivery-consultancy Expenditure,Cv1 2wt,Wga Only
10/10/2024,Central Telecommunications Services,Ics - Integrated Corporate Services - Ics - Digital,Telefonica Uk Ltd,587334,47961.17,Ics - Admin-central Telecommunications Services,Rg2 6uu,Vendor
10/10/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,625940,331491.6,Ics - Admin-other It Consultancy,Bh24 3fg,Vendor
10/10/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,625942,397647.6,Ics - Admin-other It Consultancy,Bh24 3fg,Vendor
10/10/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",City Science Corporation Ltd,626659,161271.64,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,Ex1 1ts,Vendor
10/10/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Engage Consulting Ltd,626660,41123,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Ec2n 1hn,Vendor
10/10/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Engage Consulting Ltd,626661,56248.45,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Ec2n 1hn,Vendor
