Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
16/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Technopolis Ltd,571398,49850,Desnz - International Science And Innovation-r & D Outsourced Other,Bn1 1ee,Vendor
16/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Compact Syngas Solutions Ltd,571436,282480.16,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Ch5 2qe,Vendor
16/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ingenza Ltd,571441,36228.51,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Eh25 9rg,Grant
20/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",The University Of Nottingham,571989,80000,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ng7 2rd,Vendor
20/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Advanced Biofuel Solutions Ltd,571992,187441,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Gl7 4dd,Vendor
20/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Glass Futures Ltd,571993,27080.86,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,S35 2py,Vendor
20/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Severn Wye Energy Agency Ltd,571994,25582.08,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Gl2 8dn,Grant
20/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kew Projects Ltd,572026,50461.6,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,B3 3hn,Vendor
23/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Glass Futures Ltd,573026,51703.35,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,S35 2py,Vendor
23/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Concrete4change Ltd,573072,151937.17,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ng7 2qj,Grant
27/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Edf Energy Nuclear Generation Ltd,574029,164498.07,Desnz - Net Zero Innovation - Hydrogen-r & D Current Grants To Private Sector - Npish,Gl4 3rs,Vendor
27/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cheesecake Energy Ltd,574036,168088.73,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Ng7 2tu,Vendor
29/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Caldera Heat Batteries Ltd,574186,581174.96,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Po15 5tx,Grant
29/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Plan B International Solutions Ltd,574887,85753.05,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Pl6 5wr,Vendor
26/02/2024,Hr Advice And Services,Ics - Integrated Corporate Services - Ics - Human Resources,Ministry Of Justice,573777,83379.6,Ics - Desnz Cs Admin-hr Advice And Services,Np10 8fz,Wga Only
02/02/2024,Minor Works,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,568193,230314.45,Desnz - Devolved Admin-minor Works,B3 2bj,Vendor
