Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Folkestone And Hythe District Council,566464,362209.01,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ct20 2qy,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,The Riverside Group Ltd,566465,304871,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,L24 8rf,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Together Housing Association,566466,394141.97,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hx1 2eb,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Vivid Housing Ltd,566467,270987.32,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Po2 8hb,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Welwyn Hatfield Borough Council,566468,99085.47,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Al8 6ae,Grant
29/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Lancashire Borough Council,566469,101187.2,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,L39 2df,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Midlands Combined Authority,566470,280756.82,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,B19 3sd,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Northamptonshire Council,566471,72442.98,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nn1 1ed,Grant
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Yorkshire Combined Authority,566472,702190.74,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ls1 2de,Wga Only
25/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Winchester City Council,566473,30556.76,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,So23 9lj,Grant
29/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London Borough Of Harrow,566904,380000,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ha1 2xy,Grant
29/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London Borough Of Hammersmith And Fulham,566905,125735,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,W6 9ju,Grant
29/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,South Cambridgeshire District Council,566906,117035,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb23 6ea,Wga Only
29/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cross Keys Homes Ltd,566907,234137.5,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Pe2 7bz,Grant
29/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Raven Housing Trust Ltd,566908,81088,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Rh1 1ss,Grant
29/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cheshire Peaks And Plains Housing Trust Ltd,566909,128423.13,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sk11 6qj,Grant
31/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Moat Homes Ltd,566911,695070.02,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Da2 6qe,Grant
29/01/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Broadland Housing Association Ltd,566912,323750.23,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nr1 1hu,Vendor
08/01/2024,International Subscriptions,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Rockefeller Philanthropy Advisors Inc,562275,96000,Desnz - Inz - Care Fund-international Subscriptions,10008-7082,Vendor
19/01/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Salix Finance Ltd,564863,924298.77,Desnz - Low Carbon Skills Fund Lcsf-current Grants To Private Sector - Npish,Ec4n 7be,Grant
19/01/2024,Capital Grants To Public Corporations (Pcs),Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Salix Finance Ltd,564898,26994034.18,Desnz - Public Sector Decarbonisation Scheme (Psds)-Capital Grants To Public Corporations (Pcs),Ec4n 7be,Grant
23/01/2024,R & D Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Energy Systems Catapult Ltd,565734,30705.74,Desnz - Net Zero Innovation Technical Support-r & D Research And Development Expenditure,B4 6bs,Vendor
11/01/2024,Fast Stream - Full Cost,Desnz - Corporate Services - Desnz - Human Resources,Cabinet Office,563221,202400,Desnz - Devolved Admin-fast Stream - Full Cost,Np10 8fz,Wga Only
31/01/2024,Cl - Cash Cfers Paid Over To Hmt,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Consolidated Fund Account 6622,567994,63088.5,Desnz - Non-dom Alternative Fuel - Ame-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
31/01/2024,Cl - Cash Cfers Paid Over To Hmt,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Consolidated Fund Account 6622,567994,126177,Desnz - Paris Brussels Nuclear Third Party Liability Operator Payments For Gover-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
02/01/2024,It Hosting Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Amazon Web Services Emea Sarl,561481,53651.34,Desnz - Rrems Business As Usual-it Hosting Services,Ec2a 2fa,Vendor
03/01/2024,Purchase Of Intangible Software,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Cgi It Uk Ltd,561646,47593.03,Desnz - Rrems Business As Usual-purchase Of Intangible Software,Ec3m 3by,Vendor
30/01/2024,Misc. Non Procurement Spend,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Nuclear Decommissioning Authority,564610,34158,Desnz - National Focal Point:-Misc. Non Procurement Spend,Sw1a 2eg,Vendor
26/01/2024,It Hosting Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Amazon Web Services Emea Sarl,566552,53941,Desnz - Rrems Business As Usual-it Hosting Services,L-2338,Vendor
31/01/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Kpmg Llp,558630,960671.72,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
31/01/2024,Current Grants To Private Sector - Npish,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Elexon Ltd,567290,6141902.94,Desnz - Energy Price Guarantee Gb - Domestic Ame-current Grants To Private Sector - Npish,Nw1 3aw,Vendor
30/01/2024,Salaries - Seconded Uk Staff - Vat Recoverable,Ics - Integrated Corporate Services - Ics - Commercial,Cabinet Office,566899,466183.61,Ics - Admin-salaries - Seconded Uk Staff - Vat Recoverable,Np10 8fz,Wga Only
30/01/2024,Salaries - Seconded Uk Staff - Vat Recoverable,Desnz - Corporate Services - Desnz - Commercial,Cabinet Office,566899,597276.64,Desnz - Desnz Corporate Services Admin-salaries - Seconded Uk Staff - Vat Recoverable,Np10 8fz,Wga Only
04/01/2024,It Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Triad Group Plc,555178,131397,Desnz - Building & Electrification Programme Expenditure-it Services,Gu7 1xe,Vendor
03/01/2024,Advertising,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,559600,40699.01,Desnz - Boiler Upgrade Scheme (Programme)-Advertising,Se1 0sw,Vendor
03/01/2024,Advertising,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,559603,25076.72,Desnz - Boiler Upgrade Scheme (Programme)-Advertising,Se1 0sw,Vendor
03/01/2024,Ca - Prepayments - Other,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Office Of Gas And Electricity Markets (Ofgem),561222,16342000,Desnz - Boiler Upgrade Scheme (Capital)-Ca - Prepayments - Other,Sw1p 3ge,Grant
23/01/2024,It Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Triad Group Plc,562674,141498.6,Desnz - Building & Electrification Programme Expenditure-it Services,Gu7 1xe,Vendor
